seed,implementation,algorithm,scope,deck_name,deck_card_count,query_id,query_text,expected_guid,top_guid,match,wall_ms,rank_ms,parse_ms,index_ms,timestamp,error
64,python,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,"""M1#9Y,fd[4""","what is a loop in an algorithm, as explained in chapter 1 of discovering computer science?","""M1#9Y,fd[4""","""M1#9Y,fd[4""",true,0.128,0.125,,,2025-10-12T19:42:09.117563+00:00,
64,rust,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,"""M1#9Y,fd[4""","what is a loop in an algorithm, as explained in chapter 1 of discovering computer science?","""M1#9Y,fd[4""","""M1#9Y,fd[4""",true,0.433,0.433,26.196,1.932,2025-10-12T19:42:09.242430+00:00,
64,python,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,"""i#sTTK.@U,""",what is the primary cybersecurity challenge as computing becomes more integrated into daily life?,"""i#sTTK.@U,""","""i#sTTK.@U,""",true,0.130,0.127,,,2025-10-12T19:42:09.419648+00:00,
64,rust,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,"""i#sTTK.@U,""",what is the primary cybersecurity challenge as computing becomes more integrated into daily life?,"""i#sTTK.@U,""","""i#sTTK.@U,""",true,0.531,0.531,26.957,2.116,2025-10-12T19:42:09.546881+00:00,
64,python,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,A+T%KFV9!O,how does technology serve as a platform for cultural expression?,A+T%KFV9!O,A+T%KFV9!O,true,0.122,0.119,,,2025-10-12T19:42:09.718654+00:00,
64,rust,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,A+T%KFV9!O,how does technology serve as a platform for cultural expression?,A+T%KFV9!O,A+T%KFV9!O,true,0.349,0.349,26.375,2.072,2025-10-12T19:42:09.844907+00:00,
64,python,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,"kmc:U|&!i,",list some major ethical and social challenges in computing.,"kmc:U|&!i,","kmc:U|&!i,",true,0.119,0.116,,,2025-10-12T19:42:10.018903+00:00,
64,rust,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,"kmc:U|&!i,",list some major ethical and social challenges in computing.,"kmc:U|&!i,","kmc:U|&!i,",true,0.592,0.592,26.096,2.363,2025-10-12T19:42:10.151016+00:00,
64,python,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,tl^/vySVPX,"how does boolean algebra represent classes, per chapter 3 of a brief history of computing?",tl^/vySVPX,,false,,,,,2025-10-12T19:42:10.329536+00:00,Non-zero exit (1)
64,rust,keyword,topic,Launch into Computing::Unit 01 - What is Computing?,159,tl^/vySVPX,"how does boolean algebra represent classes, per chapter 3 of a brief history of computing?",tl^/vySVPX,tl^/vySVPX,true,0.506,0.506,26.180,2.015,2025-10-12T19:42:10.452031+00:00,
